canonical_name,variants,n_responses,schools,proposed_type,matched_rule,domains,needs_review
Penn Foster,Dog Trainer Certification Program from Penn Foster; Penn Foster; penn foster; Penn Foster Career School; Penn Foster Online Certificate; Penn Foster Pet and Dog Grooming Certificate; Penn Foster Pet Grooming; Penn Foster Pet Grooming Certificate; Penn Foster Pet Grooming Program; Penn Foster's Pet Grooming Certificate; Penn Foster's Pet Grooming Certificate Program; pennfoster.edu,68,QC Event Planning; QC Pet Studies,competitor,named school/program word,pennfoster.edu,True
Animal Behavior College,Animal Behavior College; Animal Behaviour College; animalbehaviorcollege.com,33,QC Pet Studies,competitor,university-word override: vocational school,animalbehaviorcollege.com,True
NYIAD,courses offered by NYIAD; New York Institute of Art & Design (NYIAD); New York Institute of Art and Design; New York Institute of Art and Design (NYIAD); NYIAD; NYIAD (Event Planning Course); NYIAD (New York Institute of Art & Design); NYIAD Online Event Planning Course; nyiad.edu; NYIAD’s Online Event Planning Course; The New York Institute of Art & Design (NYIAD); The New York Institute of Art and Design (NYIAD),33,QC Event Planning,competitor,named school/program word,nyiad.edu,True
Karen Pryor Academy,Karen Pryor Academy; Karen Pryor Academy (KPA); Karen Pryor Academy Certified Training Partner (KPA CTP); KPA-CTP,29,QC Pet Studies,competitor,named school/program word,,True
Certification Council for Professional Dog Trainers (CCPDT),CCPDT; CCPDT®; Certification Council for Professional Dog Trainers; Certification Council for Professional Dog Trainers (CCPDT),21,QC Pet Studies,certifying_body,association/council/institute-of pattern,,True
Coursera,Coursera,21,General; QC Event Planning; QC Pet Studies,platform,platform list (course marketplace),,True
Event Decorating Academy,Event Decorating Academy; eventdecoratingacademy.com,20,QC Event Planning,competitor,named school/program word,eventdecoratingacademy.com,True
Good Dog Academy,Good Dog Academy,15,QC Pet Studies,competitor,named school/program word,,True
Udemy,Udemy,14,QC Event Planning; QC Pet Studies,competitor,approved: marketplace cited via course product pages (competitor),,True
Paragon School of Pet Grooming,Paragon School of Pet Grooming,13,QC Pet Studies,competitor,named school/program word,,True
IAP Career College,IAP Career College; IAP Career College’s Event Planner Certificate Course,12,QC Event Planning,competitor,university-word override: vocational school,,True
IWED Global,IWED Global,12,QC Event Planning,competitor,default (no rule matched),,True
American Association of Certified Wedding Planners (AACWP),AACWP; American Association of Certified Wedding Planners; American Association of Certified Wedding Planners (AACWP); certifications from American Association of Certified Wedding Planners (AACWP); The American Association of Certified Wedding Planners (AACWP),11,QC Event Planning,certifying_body,association/council/institute-of pattern,,True
CATCH Canine Trainers Academy,Catch Canine Trainers Academy; CATCH Canine Trainers Academy,11,QC Pet Studies,competitor,named school/program word,,True
West Coast Grooming Academy,West Coast Grooming; West Coast Grooming Academy; west coast grooming academy,11,QC Pet Studies,competitor,named school/program word,,True
Yes! Event Decor & More,Yes! Event Decor; YES! Event Decor & More; Yes! Event Decor & More,11,QC Event Planning,competitor,default (no rule matched),,True
Association of Professional Dog Trainers (APDT),Association of Professional Dog Trainers; Association of Professional Dog Trainers (APDT),10,QC Pet Studies,certifying_body,association/council/institute-of pattern,,True
International Professional Groomers (IPG),International Professional Groomers; International Professional Groomers (IPG); IPG,9,QC Pet Studies,certifying_body,known credential acronym,,True
LinkedIn Learning,LinkedIn Learning,9,QC Event Planning,platform,platform list (course marketplace),,True
Professional Dog Grooming Academy,PDGA; PDGA (Professional Dog Grooming Academy); Professional Dog Grooming Academy; Professional Dog Grooming Academy (PDGA),9,QC Pet Studies,competitor,named school/program word,,True
University of Texas at Arlington,University of Texas at Arlington,9,QC Event Planning,not_actionable,university / college,,True
American Grooming Academy,American Grooming Academy,8,QC Pet Studies,competitor,named school/program word,,True
edX,edX,8,General; QC Event Planning,platform,platform list (course marketplace),,True
Elevify,Elevify,8,QC Event Planning,competitor,default (no rule matched),,True
Fear Free,Fear Free; Fear Free Groomer Certification; Fear Free Groomer Certification Program,8,QC Pet Studies,competitor,approved: sells its own certification program (competitor),,True
International Association of Animal Behavior Consultants,International Association of Animal Behavior Consultants; International Association of Animal Behavior Consultants (IAABC),8,QC Pet Studies,certifying_body,association/council/institute-of pattern,,True
Meeting Professionals International (MPI),Meeting Professionals International; Meeting Professionals International (MPI); The Meeting Professionals International (MPI),8,QC Event Planning,certifying_body,known credential acronym,,True
National Association of Professional Pet Sitters,NAPPS; NAPPS Certification; NAPPS Certification Course; National Association of Professional Pet Sitters,8,QC Pet Studies,certifying_body,association/council/institute-of pattern,,True
National Dog Groomers Association of America (NDGAA),National Dog Groomers Association of America; National Dog Groomers Association of America (NDGAA); NDGAA,8,QC Pet Studies,certifying_body,association/council/institute-of pattern,,True
Shield K9 Online,SHIELD K9 Dog Training; Shield K9 Online; SHIELD K9 Online; SHIELD K9 Online Dog Training,8,QC Pet Studies,competitor,named school/program word,,True
Skillshare,Skillshare,8,QC Event Planning,competitor,approved: cited via its own class product pages (competitor),,True
UNC Charlotte,UNC Charlotte,8,QC Event Planning,competitor,default (no rule matched),,True
University of Houston,University of Houston; University of Houston (Master Event Design),8,QC Event Planning,not_actionable,university - but may sell a standalone certificate (flagged),,True
Wedding Planning Institute,The Wedding Planning Institute; Wedding Planning Institute,8,QC Event Planning,competitor,named school/program word,,True
Whole Pet Grooming Academy,Whole Pet Grooming Academy; WPGA; WPGA (World Pet Grooming Association); WPGA Grooming Certification; WPGA Online Grooming Certification,8,QC Pet Studies,certifying_body,association/council/institute-of pattern,,True
Calm Canines Academy,Calm Canines Academy,7,QC Pet Studies,competitor,named school/program word,,True
International Association of Canine Professionals (IACP),International Association of Canine Professionals; International Association of Canine Professionals (IACP),7,QC Pet Studies,certifying_body,association/council/institute-of pattern,,True
Lovegevity,Certified Master Wedding and Event Planner by Lovegevity; Certified Wedding Planner course by Lovegevity; Lovegevity,7,QC Event Planning,competitor,named school/program word,,True
The Academy of Pet Careers,Academy of Pet Careers; The Academy of Pet Careers,7,QC Pet Studies,competitor,named school/program word,,True
Alison,Alison; Alison Free Online Event Planning; Alison.com,6,QC Event Planning,competitor,"approved: sells its own courses, cited as the place to take them (competitor)",alison.com,True
