brand_name,n_responses,schools
Penn Foster,54,QC Event Planning; QC Pet Studies
Animal Behavior College,25,QC Pet Studies
Karen Pryor Academy,23,QC Pet Studies
Coursera,21,General; QC Event Planning; QC Pet Studies
Event Decorating Academy,18,QC Event Planning
NYIAD,18,QC Event Planning
Good Dog Academy,15,QC Pet Studies
Udemy,14,QC Event Planning; QC Pet Studies
Paragon School of Pet Grooming,13,QC Pet Studies
IWED Global,12,QC Event Planning
IAP Career College,11,QC Event Planning
CATCH Canine Trainers Academy,10,QC Pet Studies
Certification Council for Professional Dog Trainers (CCPDT),10,QC Pet Studies
LinkedIn Learning,9,QC Event Planning
University of Texas at Arlington,9,QC Event Planning
West Coast Grooming Academy,9,QC Pet Studies
American Grooming Academy,8,QC Pet Studies
edX,8,General; QC Event Planning
Elevify,8,QC Event Planning
Skillshare,8,QC Event Planning
UNC Charlotte,8,QC Event Planning
Yes! Event Decor & More,8,QC Event Planning
Animal Behaviour College,7,QC Pet Studies
Calm Canines Academy,7,QC Pet Studies
University of Houston,7,QC Event Planning
Association of Professional Dog Trainers (APDT),6,QC Pet Studies
Emory University,6,QC Event Planning
International Association of Canine Professionals (IACP),6,QC Pet Studies
Meeting Professionals International (MPI),6,QC Event Planning
Posh Events Institute,6,QC Event Planning
The Academy of Pet Careers,6,QC Pet Studies
American Association of Certified Wedding Planners (AACWP),5,QC Event Planning
CCPDT,5,QC Pet Studies
Certification Council for Professional Dog Trainers,5,QC Pet Studies
International Professional Groomers (IPG),5,QC Pet Studies
Lovegevity,5,QC Event Planning
National Dog Groomers Association of America (NDGAA),5,QC Pet Studies
Wedding Planning Institute,5,QC Event Planning
Alison,4,QC Event Planning
Association of Professional Dog Trainers,4,QC Pet Studies
C2H Online,4,QC Pet Studies
Certified Meeting Professional (CMP),4,QC Event Planning
Clip Shoppe School of Dog Grooming,4,QC Pet Studies
DogStars Training Academy,4,QC Pet Studies
Dogue Academy,4,QC Pet Studies
Edmonds College,4,QC Event Planning
International Association of Animal Behavior Consultants,4,QC Pet Studies
International Association of Animal Behavior Consultants (IAABC),4,QC Pet Studies
International Live Events Association (ILEA),4,QC Event Planning
Karen Pryor Academy (KPA),4,QC Pet Studies
National Association of Professional Pet Sitters,4,QC Pet Studies
New Skills Academy,4,QC Pet Studies
New York Institute of Art and Design,4,QC Event Planning
Northern California Grooming Academy,4,QC Pet Studies
Pretty Paws Grooming Academy,4,QC Pet Studies
Social Tables,4,QC Event Planning
South Texas College,4,QC Pet Studies
Victoria Stilwell Academy,4,QC Pet Studies
Wedding Academy Global,4,QC Event Planning
Whole Pet Grooming Academy,4,QC Pet Studies
Yes! Event Academy,4,QC Event Planning
AACWP,3,QC Event Planning
American Kennel Club,3,QC Pet Studies
Canine Club Academy,3,QC Pet Studies
Canine Correspondence Studies (CCS),3,QC Pet Studies
Cvent,3,QC Event Planning
e-Training for Dogs,3,QC Pet Studies
Ethology Institute,3,QC Pet Studies
Fear Free,3,QC Pet Studies
Fear Free Groomer Certification,3,QC Pet Studies
Flawless Pet Grooming,3,QC Pet Studies
Georgian College,3,QC Pet Studies
Groom Curriculum,3,QC Pet Studies
Groomer to Groomer,3,QC Pet Studies
Instinct Dog Training,3,QC Pet Studies
International Canine Training Institute (ICTI),3,QC Pet Studies
Just Four Paws Academy,3,QC Pet Studies
MidMo Dog Training,3,QC Pet Studies
Mindfulness4dogs Online Dog School,3,QC Pet Studies
MSI Certified,3,QC Event Planning
PACCC,3,QC Pet Studies
Paragon Pet School,3,QC Pet Studies
pennfoster.edu,3,QC Event Planning
Pet Sitters International,3,QC Pet Studies
Prestige Dog Grooming School,3,QC Pet Studies
Printify,3,QC Event Planning; QC Pet Studies
Professional Dog Grooming Academy,3,QC Pet Studies
Professional Dog Grooming Academy (PDGA),3,QC Pet Studies
The Wedding Academy,3,QC Event Planning
The Wedding Planning Institute,3,QC Event Planning
Unleashed Potential K9 Academy,3,QC Pet Studies
V Wedding Academy,3,QC Event Planning
Webber International University,3,QC Event Planning
ZipRecruiter,3,QC Pet Studies
American Academy of Wedding Professionals (AAWP),2,QC Event Planning
American School of Dog Grooming,2,QC Pet Studies
Animal Behavior College (ABC),2,QC Pet Studies
Animal Behavior Institute,2,QC Pet Studies
animalcoursesdirect.co.uk,2,QC Pet Studies
Berry College,2,QC Pet Studies
Building Bonds Online Courses,2,QC Pet Studies
Cali K9 Online Training,2,QC Pet Studies
Canine Academy,2,QC Pet Studies
Canine Correspondence Studies,2,QC Pet Studies
Canine Training Academy at Georgian College,2,QC Pet Studies
CAPDT,2,QC Pet Studies
Career Village,2,QC Event Planning; QC Pet Studies
Certified Special Events Professional (CSEP),2,QC Event Planning
Certified Wedding Planner Society,2,QC Event Planning
CWP Society,2,QC Event Planning
Diamond Cut Dog Grooming School,2,QC Pet Studies
Dog Grooming School of Pennsylvania,2,QC Pet Studies
Dogma Academy,2,QC Pet Studies
Dogue Academy Professional Dog Trainer School,2,QC Pet Studies
Easy Busy Pets,2,QC Pet Studies
Eventbrite,2,QC Event Planning
eventdecoratingacademy.com,2,QC Event Planning
EventPlanning.com,2,QC Event Planning
Fear Free Groomer Certification Program,2,QC Pet Studies
Fenzi Dog Sports Academy,2,QC Pet Studies
Flawless Pet Grooming School & Salon,2,QC Pet Studies
George Washington University,2,QC Event Planning
International Dog Trainer School,2,QC Pet Studies
International Institute of Event Management,2,QC Event Planning
International Professional Groomers,2,QC Pet Studies
internationaldogtrainerschool.com,2,QC Pet Studies
IPG,2,QC Pet Studies
Jodi Murphy’s Distance Learning Program,2,QC Pet Studies
Julius K9,2,QC Pet Studies
Lehman College,2,QC Event Planning
Let's Groom Virtual Academy,2,QC Pet Studies
MasterClass,2,QC Event Planning
McNeese State University,2,QC Event Planning
Merryfield,2,QC Pet Studies
Moego,2,QC Pet Studies
MSU Denver,2,QC Event Planning
NAPPS,2,QC Pet Studies
National Dog Groomers Association of America,2,QC Pet Studies
New York Institute of Art and Design (NYIAD),2,QC Event Planning
New York University School of Professional Studies,2,QC Event Planning
NYIAD (New York Institute of Art & Design),2,QC Event Planning
NYU SPS,2,QC Event Planning
OKC Unleashed,2,QC Pet Studies
Online Grooming School,2,QC Pet Studies
Oxford Home Study,2,QC Event Planning
Paragon,2,QC Pet Studies
Paw Parent Academy,2,QC Pet Studies
PCMA Institute,2,QC Event Planning
PDGA (Professional Dog Grooming Academy),2,QC Pet Studies
Penn Foster Pet and Dog Grooming Certificate,2,QC Pet Studies
Pet Professional,2,QC Pet Studies
Shear Excellence Dog Grooming Academy,2,QC Pet Studies
SHIELD K9 Dog Training,2,QC Pet Studies
Shield K9 Online,2,QC Pet Studies
SHIELD K9 Online,2,QC Pet Studies
SHIELD K9 Online Dog Training,2,QC Pet Studies
SpiritDog Training,2,QC Pet Studies
The Sheffield School,2,QC Event Planning
Tuma Event Ambience Creators (TEAC),2,QC Event Planning
Wagner College,2,QC Event Planning
Wear Wag Repeat,2,QC Pet Studies
Weddings Beautiful Worldwide,2,QC Event Planning
Yes! Event Decor,2,QC Event Planning
ziprecruiter.com,2,QC Pet Studies
